26052.0	1.441871	0.805124	largeDoses
75136.0	13.147394	0.428964	smallDoses
38344.0	1.669788	0.134296	largeDoses
72993.0	10.14174	1.032955	largeDoses
67497.0	8.631577	0.749278	largeDoses
50242.0	3.723498	0.831917	smallDoses
63275.0	8.385879	1.669485	smallDoses
51052.0	4.680098	0.625224	largeDoses
77372.0	15.29957	0.331351	smallDoses
43673.0	1.889461	0.191283	smallDoses
61364.0	7.516754	1.269164	largeDoses
69673.0	14.239195	0.261333	smallDoses
37708.0	2.991551	0.83392	largeDoses
41611.0	0.230453	1.151996	smallDoses
43605.0	0.12046	1.352013	largeDoses
63796.0	5.856649	0.160006	smallDoses
70808.0	9.778763	1.084103	largeDoses
72011.0	4.932976	0.632026	largeDoses
44952.0	3.424649	1.004504	smallDoses
36429.0	3.570968	0.832254	smallDoses
39623.0	1.771228	0.207612	largeDoses
32404.0	3.513921	0.991854	largeDoses
27268.0	4.398172	0.975024	smallDoses
68613.0	13.79897	0.724375	largeDoses
68837.0	10.585786	0.329557	largeDoses
48849.0	3.679497	0.961466	largeDoses
65230.0	9.97247	0.881876	smallDoses
42377.0	6.319522	1.058602	smallDoses
77450.0	14.856391	1.129823	largeDoses
58732.0	2.454285	0.22238	smallDoses
64890.0	8.579001	0.683048	smallDoses
42050.0	4.83854	1.680892	smallDoses
64895.0	6.573742	1.151433	smallDoses
70406.0	11.196378	0.836326	largeDoses
57399.0	4.229595	0.128253	smallDoses
75270.0	17.101108	0.490712	smallDoses
73520.0	8.262131	1.361646	smallDoses
22329.0	2.262014	1.022169	smallDoses
46570.0	5.67711	0.709469	smallDoses
33654.0	6.590043	1.353117	smallDoses
77064.0	12.601108	0.974527	largeDoses
44373.0	4.391522	0.8071	smallDoses
63771.0	7.879742	0.154263	largeDoses
69076.0	9.140172	0.8513	smallDoses
24489.0	4.258644	0.206892	largeDoses
32311.0	2.261978	1.605603	smallDoses
68607.0	9.661909	0.350772	smallDoses
24619.0	1.31834	1.436243	largeDoses
54483.0	6.317292	0.018209	largeDoses
33926.0	2.906644	0.581657	largeDoses
43865.0	2.388241	0.913938	smallDoses
56054.0	3.574967	0.494666	largeDoses
55164.0	4.50874	1.036192	largeDoses
57087.0	0.573287	0.607915	smallDoses
63082.0	9.183738	0.01228	smallDoses
68680.0	7.949017	0.271865	largeDoses
74391.0	9.569087	0.364856	largeDoses
